id,num_recipients,school,school_type,state,zip_code,avg_disbursed_loan,zip_median_household_income,degree_length,room_and_board_price,in_state_tuition,out_of_state_tuition,early_career_pay_estimate,mid_career_pay_estimate,stem_percent,total_enrollment,american_indian_alaska_native_enrolled,asian_enrolled,black_enrolled,hispanic_enrolled,native_hawaiian_pacific_islander_enrolled,non_resident_foreign_enrolled,total_minority_enrolled,two_or_more_races_enrolled,unknown_enrolled,white_enrolled,women_enrolled,county_name,county_labor_force,county_employed,county_unemployed
1,403,BROOKHAVEN COLLEGE,PUBLIC,TX,75244,1796.1409295352323,70308,2 Year,,1770,5220,,,,12403,47,1238,2285,4479,6,54,8212,157,448,3689,7239,Dallas,1195683,1092540,103143
2,204,COLLEGE OF COURT REPORTING,PROPRIETARY,IN,46342,2533.485564304462,54740,2 Year,,11250,11250,,,,218,5,6,18,17,0,0,46,0,16,156,202,Lake,229122,205072,24050
3,3122,MILWAUKEE AREA TECHNICAL COLLEGE,PUBLIC,WI,53233,1901.387566736042,13905,2 Year,,4515,6528,,,,16712,145,766,5042,2056,10,0,8478,459,1147,7087,9382,Milwaukee,476599,429808,46791
4,234,MCHENRY COUNTY COLLEGE,PUBLIC,IL,60012,1548.7534246575342,103390,2 Year,,3494,14603,,,,6567,13,119,105,1173,12,12,1548,126,463,4544,3534,McHenry,168589,150630,17959
5,61,OZARK CHRISTIAN COLLEGE,PRIVATE,MO,64801,2206.1338199513384,36578,4 Year,6160.0,12620,12620,,,,733,5,3,10,27,1,12,75,29,1,645,336,Jasper,58771,53830,4941
6,0,COLLEGE OF COASTAL GEORGIA,PUBLIC,GA,31520,1687.5,29661,4 Year,9520.0,3971,10578,,,,3008,13,50,501,150,3,33,831,114,115,2029,1972,Glynn,38450,34551,3899
7,127,VILLA MARIA COLLEGE OF BUFFALO,PRIVATE,NY,14225,1783.0555555555557,44740,4 Year,,22600,22600,,,,477,2,6,121,31,1,0,184,23,6,287,324,Erie,466015,426603,39412
8,2,SACRED HEART MAJOR SEMINARY,PRIVATE,MI,48206,2636.75,23816,4 Year,10675.0,19840,19840,,,,424,0,8,4,42,0,39,56,2,43,286,150,Wayne,795744,676615,119129
9,39,DODGE CITY COMMUNITY COLLEGE,PUBLIC,KS,67801,1832.6378600823043,48345,2 Year,6650.0,2840,3680,,,,1768,9,18,200,645,2,6,899,25,0,863,880,Ford,18120,17376,744
10,38,DAKOTA WESLEYAN UNIVERSITY,PRIVATE,SD,57301,2474.232673267327,43795,4 Year,7350.0,27300,27300,41800.0,75700.0,10.0,870,9,2,15,23,0,14,67,18,3,786,494,Davison,10978,10499,479
11,376,ROGER WILLIAMS UNIVERSITY,PRIVATE,RI,2809,4160.3268858800775,64405,4 Year,15890.0,34522,34522,52900.0,92700.0,12.0,4884,42,107,117,238,3,243,511,4,634,3496,2470,Bristol,27168,24421,2747
12,837,RIDGEWATER COLLEGE,PUBLIC,MN,56201,1966.9128642920225,42971,2 Year,,5429,5429,,,,3753,10,26,132,255,2,4,529,104,73,3147,1966,Kandiyohi,23588,22009,1579
13,204,MARTIN METHODIST COLLEGE,PRIVATE,TN,38478,1933.3814352574104,35523,4 Year,8400.0,24246,24246,,,,1087,3,0,123,20,4,64,150,0,119,754,670,Giles,14262,12512,1750
14,172,NORTHWESTERN OKLAHOMA STATE UNIVERSITY,PUBLIC,OK,73717,1942.7308730873087,48685,4 Year,4780.0,7036,14153,42200.0,76800.0,11.0,2166,137,15,136,150,10,132,459,11,167,1408,1266,Woods,4287,4113,174
15,688,COLORADO CHRISTIAN UNIVERSITY,PRIVATE,CO,80226,2442.3094004441155,51828,4 Year,11846.0,31866,31866,46800.0,80100.0,2.0,5787,36,157,391,623,16,7,1450,227,264,4066,3688,Jefferson,303208,276614,26594
16,386,ROCKHURST UNIVERSITY,PRIVATE,MO,64110,3135.096068484464,36972,4 Year,10200.0,37590,37590,54000.0,92500.0,11.0,3002,5,91,146,143,3,33,467,79,237,2265,1737,Jackson,359453,321363,38090
